term,type,estimate,std.error,statistic,p.value
United States,summary,0.1574323336154585,0.027060615808110953,5.817766111895756,5.9639270008760616e-9
Israel,summary,0.16203488575070082,0.04025439441100353,4.025271976428209,5.690950234113595e-5
Spain,summary,0.04138133427545145,0.058456704216089006,0.7078971493583125,0.4790091301075857
France,summary,-0.027624553312823305,0.06620033455688115,-0.4172872161104794,0.6764683380567924
UK,summary,0.014476649370385009,0.04149790270282043,0.34885255464732423,0.7272000059858562
Canada,summary,0.10124323577542749,0.14157936008787136,0.7150988372358145,0.4745479723954647
